,date,region,sale
7366,2018-10-27,east,1686.0
7338,2018-10-26,east,1545.0
7310,2018-10-25,east,1635.0
11874,2019-04-06,east,1716.0
13694,2019-06-10,east,1623.0
6862,2018-10-09,east,1551.0
6890,2018-10-10,east,1599.0
6918,2018-10-11,east,1749.0
6946,2018-10-12,east,1542.0
11958,2019-04-09,east,1755.0
6974,2018-10-13,east,1722.0
7002,2018-10-14,east,1503.0
7030,2018-10-15,east,1548.0
7814,2018-11-12,east,1569.0
7058,2018-10-16,east,1650.0
7086,2018-10-17,east,1656.0
7114,2018-10-18,east,1509.0
7142,2018-10-19,east,1794.0
7170,2018-10-20,east,1776.0
11902,2019-04-07,east,1518.0
7198,2018-10-21,east,1767.0
7226,2018-10-22,east,1578.0
7254,2018-10-23,east,1602.0
7282,2018-10-24,east,1692.0
11930,2019-04-08,east,1743.0
11986,2019-04-10,east,1509.0
7842,2018-11-13,east,1776.0
7870,2018-11-14,east,1533.0
8430,2018-12-04,east,1788.0
8458,2018-12-05,east,1731.0
8486,2018-12-06,east,1662.0
8514,2018-12-07,east,1653.0
11566,2019-03-26,east,1797.0
8542,2018-12-08,east,1755.0
8570,2018-12-09,east,1665.0
8598,2018-12-10,east,1509.0
8626,2018-12-11,east,1575.0
11538,2019-03-25,east,1554.0
8654,2018-12-12,east,1773.0
8682,2018-12-13,east,1713.0
8710,2018-12-14,east,1569.0
8738,2018-12-15,east,1587.0
11510,2019-03-24,east,1797.0
8766,2018-12-16,east,1800.0
8794,2018-12-17,east,1626.0
8822,2018-12-18,east,1605.0
8850,2018-12-19,east,1797.0
11594,2019-03-27,east,1608.0
8402,2018-12-03,east,1572.0
8374,2018-12-02,east,1602.0
8346,2018-12-01,east,1536.0
7898,2018-11-15,east,1521.0
7926,2018-11-16,east,1662.0
7954,2018-11-17,east,1602.0
11706,2019-03-31,east,1653.0
7982,2018-11-18,east,1617.0
8010,2018-11-19,east,1725.0
8038,2018-11-20,east,1632.0
8066,2018-11-21,east,1644.0
11678,2019-03-30,east,1557.0
11734,2019-04-01,east,1569.0
8094,2018-11-22,east,1710.0
8150,2018-11-24,east,1683.0
8178,2018-11-25,east,1704.0
11650,2019-03-29,east,1656.0
8206,2018-11-26,east,1659.0
8234,2018-11-27,east,1725.0
8262,2018-11-28,east,1719.0
8290,2018-11-29,east,1689.0
11622,2019-03-28,east,1767.0
8318,2018-11-30,east,1755.0
8122,2018-11-23,east,1560.0
2606,2018-05-10,east,1515.0
10950,2019-03-04,east,1518.0
1430,2018-03-29,east,1686.0
2186,2018-04-25,east,1758.0
1122,2018-03-18,east,1698.0
2354,2018-05-01,east,1506.0
1346,2018-03-26,east,1533.0
394,2018-02-20,east,1500.0
1822,2018-04-12,east,1782.0
1962,2018-04-17,east,1704.0
730,2018-03-04,east,1614.0
1374,2018-03-27,east,1533.0
366,2018-02-19,east,1605.0
2382,2018-05-02,east,1791.0
13414,2019-05-31,east,1677.0
1094,2018-03-17,east,1710.0
758,2018-03-05,east,1557.0
422,2018-02-21,east,1665.0
1402,2018-03-28,east,1524.0
1794,2018-04-11,east,1581.0
13610,2019-06-07,east,1503.0
2158,2018-04-24,east,1689.0
2410,2018-05-03,east,1500.0
310,2018-02-17,east,1641.0
13498,2019-06-03,east,1581.0
618,2018-02-28,east,1743.0
13330,2019-05-28,east,1560.0
282,2018-02-16,east,1527.0
786,2018-03-06,east,1659.0
1066,2018-03-16,east,1590.0
2438,2018-05-04,east,1671.0
13246,2019-05-25,east,1677.0
1766,2018-04-10,east,1698.0
338,2018-02-18,east,1551.0
254,2018-02-15,east,1524.0
702,2018-03-03,east,1569.0
13358,2019-05-29,east,1581.0
1206,2018-03-21,east,1593.0
1906,2018-04-15,east,1602.0
590,2018-02-27,east,1578.0
13386,2019-05-30,east,1716.0
1178,2018-03-20,east,1629.0
562,2018-02-26,east,1524.0
2270,2018-04-28,east,1584.0
646,2018-03-01,east,1527.0
1234,2018-03-22,east,1653.0
13134,2019-05-21,east,1794.0
13218,2019-05-24,east,1653.0
13554,2019-06-05,east,1647.0
534,2018-02-25,east,1635.0
13526,2019-06-04,east,1602.0
13582,2019-06-06,east,1614.0
2214,2018-04-26,east,1740.0
2298,2018-04-29,east,1740.0
1262,2018-03-23,east,1749.0
506,2018-02-24,east,1725.0
1934,2018-04-16,east,1548.0
1150,2018-03-19,east,1500.0
1290,2018-03-24,east,1800.0
674,2018-03-02,east,1746.0
478,2018-02-23,east,1641.0
2046,2018-04-20,east,1677.0
1850,2018-04-13,east,1674.0
2326,2018-04-30,east,1593.0
13106,2019-05-20,east,1785.0
450,2018-02-22,east,1668.0
1318,2018-03-25,east,1740.0
1878,2018-04-14,east,1674.0
13078,2019-05-19,east,1686.0
2242,2018-04-27,east,1674.0
1458,2018-03-30,east,1554.0
2102,2018-04-22,east,1557.0
13302,2019-05-27,east,1680.0
2018,2018-04-19,east,1767.0
1010,2018-03-14,east,1512.0
114,2018-02-10,east,1650.0
1710,2018-04-08,east,1557.0
1990,2018-04-18,east,1515.0
870,2018-03-09,east,1506.0
1570,2018-04-03,east,1614.0
13470,2019-06-02,east,1557.0
13666,2019-06-09,east,1782.0
86,2018-02-09,east,1782.0
898,2018-03-10,east,1746.0
142,2018-02-11,east,1563.0
1598,2018-04-04,east,1566.0
13442,2019-06-01,east,1548.0
58,2018-02-08,east,1503.0
2074,2018-04-21,east,1644.0
13050,2019-05-18,east,1608.0
982,2018-03-13,east,1554.0
30,2018-02-07,east,1542.0
1682,2018-04-07,east,1788.0
1626,2018-04-05,east,1692.0
2578,2018-05-09,east,1551.0
926,2018-03-11,east,1608.0
2,2018-02-06,east,1731.0
954,2018-03-12,east,1602.0
1654,2018-04-06,east,1632.0
2550,2018-05-08,east,1728.0
1542,2018-04-02,east,1662.0
2522,2018-05-07,east,1728.0
13190,2019-05-23,east,1641.0
13638,2019-06-08,east,1710.0
13274,2019-05-26,east,1638.0
1486,2018-03-31,east,1605.0
198,2018-02-13,east,1773.0
814,2018-03-07,east,1608.0
226,2018-02-14,east,1698.0
2130,2018-04-23,east,1665.0
1038,2018-03-15,east,1605.0
1738,2018-04-09,east,1641.0
170,2018-02-12,east,1569.0
2466,2018-05-05,east,1575.0
1514,2018-04-01,east,1710.0
13162,2019-05-22,east,1761.0
2494,2018-05-06,east,1719.0
842,2018-03-08,east,1698.0
1064,2018-03-16,north,1506.0
7560,2018-11-03,north,1704.0
7196,2018-10-21,north,1569.0
7756,2018-11-10,north,1590.0
7784,2018-11-11,north,1722.0
11760,2019-04-02,north,1623.0
7504,2018-11-01,north,1692.0
1176,2018-03-20,north,1647.0
7140,2018-10-19,north,1521.0
7840,2018-11-13,north,1698.0
7532,2018-11-02,north,1728.0
13440,2019-06-01,north,1680.0
7476,2018-10-31,north,1674.0
7168,2018-10-20,north,1692.0
980,2018-03-13,north,1644.0
11928,2019-04-08,north,1713.0
7112,2018-10-18,north,1692.0
7812,2018-11-12,north,1716.0
7644,2018-11-06,north,1740.0
11844,2019-04-05,north,1614.0
7392,2018-10-28,north,1635.0
1120,2018-03-18,north,1650.0
7364,2018-10-27,north,1509.0
11872,2019-04-06,north,1749.0
7672,2018-11-07,north,1527.0
7336,2018-10-26,north,1596.0
7420,2018-10-29,north,1707.0
7616,2018-11-05,north,1611.0
7308,2018-10-25,north,1629.0
7448,2018-10-30,north,1677.0
1148,2018-03-19,north,1683.0
11788,2019-04-03,north,1539.0
1092,2018-03-17,north,1593.0
7588,2018-11-04,north,1695.0
7700,2018-11-08,north,1548.0
7280,2018-10-24,north,1650.0
7252,2018-10-23,north,1764.0
7728,2018-11-09,north,1647.0
11900,2019-04-07,north,1605.0
1008,2018-03-14,north,1515.0
11816,2019-04-04,north,1530.0
1036,2018-03-15,north,1677.0
7224,2018-10-22,north,1542.0
13412,2019-05-31,north,1716.0
2604,2018-05-10,north,1737.0
6748,2018-10-05,north,1779.0
7084,2018-10-17,north,1536.0
6020,2018-09-09,north,1527.0
1540,2018-04-02,north,1509.0
6048,2018-09-10,north,1650.0
6076,2018-09-11,north,1578.0
12180,2019-04-17,north,1569.0
6104,2018-09-12,north,1719.0
6132,2018-09-13,north,1653.0
1512,2018-04-01,north,1761.0
13328,2019-05-28,north,1635.0
6160,2018-09-14,north,1713.0
6188,2018-09-15,north,1587.0
12152,2019-04-16,north,1596.0
6216,2018-09-16,north,1554.0
1484,2018-03-31,north,1617.0
6244,2018-09-17,north,1764.0
6272,2018-09-18,north,1503.0
6300,2018-09-19,north,1542.0
5992,2018-09-08,north,1659.0
12208,2019-04-18,north,1590.0
5964,2018-09-07,north,1791.0
1568,2018-04-03,north,1767.0
12292,2019-04-21,north,1683.0
5656,2018-08-27,north,1605.0
5684,2018-08-28,north,1566.0
1652,2018-04-06,north,1701.0
5712,2018-08-29,north,1662.0
5740,2018-08-30,north,1635.0
12264,2019-04-20,north,1521.0
5768,2018-08-31,north,1749.0
1456,2018-03-30,north,1734.0
1624,2018-04-05,north,1506.0
13300,2019-05-27,north,1590.0
5824,2018-09-02,north,1527.0
5852,2018-09-03,north,1749.0
1596,2018-04-04,north,1767.0
12236,2019-04-19,north,1773.0
5880,2018-09-04,north,1794.0
5908,2018-09-05,north,1731.0
5936,2018-09-06,north,1713.0
5796,2018-09-01,north,1560.0
12124,2019-04-15,north,1530.0
6328,2018-09-20,north,1686.0
6356,2018-09-21,north,1590.0
12012,2019-04-11,north,1581.0
6776,2018-10-06,north,1584.0
6804,2018-10-07,north,1533.0
6832,2018-10-08,north,1701.0
1288,2018-03-24,north,1716.0
13384,2019-05-30,north,1692.0
6860,2018-10-09,north,1680.0
6888,2018-10-10,north,1749.0
1316,2018-03-25,north,1743.0
11984,2019-04-10,north,1542.0
1260,2018-03-23,north,1761.0
6944,2018-10-12,north,1782.0
6972,2018-10-13,north,1581.0
7000,2018-10-14,north,1728.0
1232,2018-03-22,north,1578.0
11956,2019-04-09,north,1728.0
7028,2018-10-15,north,1605.0
7056,2018-10-16,north,1551.0
6916,2018-10-11,north,1596.0
1204,2018-03-21,north,1743.0
6720,2018-10-04,north,1512.0
1344,2018-03-26,north,1509.0
6384,2018-09-22,north,1632.0
1428,2018-03-29,north,1722.0
6412,2018-09-23,north,1731.0
12096,2019-04-14,north,1500.0
6440,2018-09-24,north,1611.0
6468,2018-09-25,north,1530.0
1400,2018-03-28,north,1671.0
6496,2018-09-26,north,1617.0
6692,2018-10-03,north,1563.0
13356,2019-05-29,north,1599.0
12068,2019-04-13,north,1515.0
6552,2018-09-28,north,1749.0
6580,2018-09-29,north,1518.0
1372,2018-03-27,north,1767.0
6608,2018-09-30,north,1746.0
6636,2018-10-01,north,1782.0
12040,2019-04-12,north,1539.0
6664,2018-10-02,north,1680.0
6524,2018-09-27,north,1632.0
7868,2018-11-14,north,1563.0
13496,2019-06-03,north,1719.0
952,2018-03-12,north,1599.0
336,2018-02-18,north,1644.0
9884,2019-01-25,north,1560.0
9912,2019-01-26,north,1671.0
11228,2019-03-14,north,1677.0
9940,2019-01-27,north,1524.0
9968,2019-01-28,north,1731.0
308,2018-02-17,north,1785.0
9996,2019-01-29,north,1500.0
9856,2019-01-24,north,1647.0
10024,2019-01-30,north,1782.0
10052,2019-01-31,north,1650.0
280,2018-02-16,north,1578.0
10080,2019-02-01,north,1749.0
13636,2019-06-08,north,1656.0
10108,2019-02-02,north,1596.0
10136,2019-02-03,north,1602.0
252,2018-02-15,north,1746.0
11172,2019-03-12,north,1518.0
11200,2019-03-13,north,1524.0
9828,2019-01-23,north,1662.0
11256,2019-03-15,north,1647.0
9800,2019-01-22,north,1719.0
11340,2019-03-18,north,1701.0
9492,2019-01-11,north,1662.0
9520,2019-01-12,north,1566.0
448,2018-02-22,north,1635.0
9548,2019-01-13,north,1551.0
9576,2019-01-14,north,1692.0
11312,2019-03-17,north,1683.0
9604,2019-01-15,north,1605.0
420,2018-02-21,north,1737.0
9632,2019-01-16,north,1548.0
9660,2019-01-17,north,1590.0
9688,2019-01-18,north,1572.0
392,2018-02-20,north,1698.0
11284,2019-03-16,north,1563.0
9716,2019-01-19,north,1587.0
13608,2019-06-07,north,1713.0
9744,2019-01-20,north,1707.0
9772,2019-01-21,north,1611.0
364,2018-02-19,north,1563.0
10164,2019-02-04,north,1548.0
10192,2019-02-05,north,1617.0
10220,2019-02-06,north,1551.0
224,2018-02-14,north,1767.0
10640,2019-02-21,north,1599.0
10668,2019-02-22,north,1770.0
84,2018-02-09,north,1758.0
10696,2019-02-23,north,1599.0
11032,2019-03-07,north,1551.0
10724,2019-02-24,north,1692.0
10752,2019-02-25,north,1635.0
56,2018-02-08,north,1602.0
10780,2019-02-26,north,1566.0
13692,2019-06-10,north,1698.0
10808,2019-02-27,north,1593.0
11004,2019-03-06,north,1746.0
10836,2019-02-28,north,1710.0
10864,2019-03-01,north,1593.0
28,2018-02-07,north,1587.0
10892,2019-03-02,north,1782.0
10920,2019-03-03,north,1698.0
10976,2019-03-05,north,1566.0
10948,2019-03-04,north,1587.0
10612,2019-02-20,north,1740.0
9464,2019-01-10,north,1767.0
11060,2019-03-08,north,1521.0
10584,2019-02-19,north,1716.0
10248,2019-02-07,north,1734.0
11144,2019-03-11,north,1659.0
10276,2019-02-08,north,1662.0
10304,2019-02-09,north,1779.0
196,2018-02-13,north,1572.0
10332,2019-02-10,north,1725.0
10360,2019-02-11,north,1563.0
11116,2019-03-10,north,1545.0
10388,2019-02-12,north,1572.0
10416,2019-02-13,north,1686.0
168,2018-02-12,north,1758.0
13664,2019-06-09,north,1782.0
10444,2019-02-14,north,1725.0
10472,2019-02-15,north,1566.0
11088,2019-03-09,north,1533.0
10500,2019-02-16,north,1794.0
140,2018-02-11,north,1554.0
10528,2019-02-17,north,1512.0
10556,2019-02-18,north,1695.0
112,2018-02-10,north,1662.0
7896,2018-11-15,north,1623.0
9436,2019-01-09,north,1500.0
9408,2019-01-08,north,1722.0
8316,2018-11-30,north,1641.0
8344,2018-12-01,north,1665.0
812,2018-03-07,north,1581.0
11620,2019-03-28,north,1518.0
8372,2018-12-02,north,1563.0
8400,2018-12-03,north,1506.0
8428,2018-12-04,north,1722.0
784,2018-03-06,north,1719.0
8288,2018-11-29,north,1686.0
8456,2018-12-05,north,1677.0
8484,2018-12-06,north,1737.0
8512,2018-12-07,north,1716.0
756,2018-03-05,north,1533.0
8540,2018-12-08,north,1782.0
8568,2018-12-09,north,1737.0
11564,2019-03-26,north,1701.0
8596,2018-12-10,north,1659.0
8624,2018-12-11,north,1509.0
11592,2019-03-27,north,1668.0
840,2018-03-08,north,1611.0
8260,2018-11-28,north,1767.0
11648,2019-03-29,north,1605.0
11732,2019-04-01,north,1512.0
7924,2018-11-16,north,1587.0
13468,2019-06-02,north,1755.0
7952,2018-11-17,north,1554.0
7980,2018-11-18,north,1521.0
924,2018-03-11,north,1692.0
8008,2018-11-19,north,1551.0
11704,2019-03-31,north,1785.0
8036,2018-11-20,north,1791.0
8064,2018-11-21,north,1617.0
896,2018-03-10,north,1788.0
8092,2018-11-22,north,1650.0
8120,2018-11-23,north,1779.0
11676,2019-03-30,north,1722.0
8148,2018-11-24,north,1689.0
8176,2018-11-25,north,1665.0
868,2018-03-09,north,1746.0
8204,2018-11-26,north,1653.0
8232,2018-11-27,north,1773.0
728,2018-03-04,north,1773.0
13524,2019-06-04,north,1602.0
8652,2018-12-12,north,1623.0
8680,2018-12-13,north,1719.0
588,2018-02-27,north,1665.0
9100,2018-12-28,north,1650.0
9128,2018-12-29,north,1626.0
11424,2019-03-21,north,1776.0
9156,2018-12-30,north,1758.0
560,2018-02-26,north,1686.0
9184,2018-12-31,north,1527.0
9212,2019-01-01,north,1518.0
9240,2019-01-02,north,1767.0
532,2018-02-25,north,1596.0
11396,2019-03-20,north,1635.0
9268,2019-01-03,north,1695.0
9296,2019-01-04,north,1590.0
9324,2019-01-05,north,1761.0
504,2018-02-24,north,1629.0
9352,2019-01-06,north,1644.0
13580,2019-06-06,north,1662.0
11368,2019-03-19,north,1677.0
9380,2019-01-07,north,1644.0
9072,2018-12-27,north,1578.0
476,2018-02-23,north,1533.0
9044,2018-12-26,north,1683.0
9016,2018-12-25,north,1512.0
11536,2019-03-25,north,1650.0
8708,2018-12-14,north,1716.0
700,2018-03-03,north,1539.0
8736,2018-12-15,north,1554.0
8764,2018-12-16,north,1635.0
8792,2018-12-17,north,1635.0
672,2018-03-02,north,1635.0
11508,2019-03-24,north,1566.0
8820,2018-12-18,north,1755.0
8848,2018-12-19,north,1566.0
8876,2018-12-20,north,1731.0
644,2018-03-01,north,1668.0
8904,2018-12-21,north,1659.0
11480,2019-03-23,north,1734.0
8932,2018-12-22,north,1776.0
8960,2018-12-23,north,1770.0
616,2018-02-28,north,1767.0
8988,2018-12-24,north,1740.0
13552,2019-06-05,north,1632.0
11452,2019-03-22,north,1746.0
5628,2018-08-26,north,1542.0
0,2018-02-06,north,1638.0
4032,2018-06-30,north,1554.0
3724,2018-06-19,north,1593.0
13188,2019-05-23,north,1626.0
3136,2018-05-29,north,1713.0
5040,2018-08-05,north,1650.0
4368,2018-07-12,north,1593.0
1848,2018-04-13,north,1539.0
2436,2018-05-04,north,1653.0
5012,2018-08-04,north,1536.0
3164,2018-05-30,north,1674.0
3696,2018-06-18,north,1530.0
13244,2019-05-25,north,1788.0
4396,2018-07-13,north,1749.0
12460,2019-04-27,north,1740.0
2268,2018-04-28,north,1632.0
12908,2019-05-13,north,1563.0
3192,2018-05-31,north,1725.0
4956,2018-08-02,north,1527.0
3220,2018-06-01,north,1794.0
2044,2018-04-20,north,1668.0
1876,2018-04-14,north,1569.0
